WaveAlpha,2022,xe số,29B1-12345,tím,true
WaveAlpha,2022,xe số,29B1-12346,đen,true
WaveAlpha,2020,xe số,29B1-12347,đen,false
Sirius,2023,xe số,29B1-12348,đen,false
Sirius,2023,xe số,29B1-12349,đen,false
Sirius,2023,xe số,29B1-12350,đen,false
Sirius,2023,xe số,29B1-12351,đen,false
AirBlade,2023,xe ga,29B1-12352,đen,true
AirBlade,2021,xe ga,29B1-12353,đỏ,false
AirBlade,2020,xe ga,29B1-12354,đen,false
AirBlade,2023,xe ga,29B1-12355,đen,false
AirBlade,2023,xe ga,29B1-12356,đen,false
Vision,2020,xe ga,29B1-12358,vàng,false
Vision,2020,xe ga,29B1-12359,vàng,false
Vision,2020,xe ga,29B1-12360,vàng,false
